Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
10/01/2025,Vente,"130000,00",2140.0,VERVINS,2,Maison,67.0,3.0,778.0
30/06/2025,Vente,"290000,00",1120.0,MONTLUEL,1,Appartement,65.0,3.0,113.0
07/02/2025,Vente,"174010,00",1500.0,AMBERIEU-EN-BUGEY,1,Appartement,72.0,3.0,364.0
11/06/2025,Vente,"366000,00",1710.0,THOIRY,1,Maison,90.0,5.0,122.0
18/02/2025,Vente,"125000,00",2000.0,LAON,2,Appartement,75.0,3.0,61.0
07/08/2025,Vente,"190000,00",1500.0,BETTANT,1,Maison,130.0,5.0,157.0
20/06/2025,Vente,"87000,00",2100.0,SAINT QUENTIN,2,Maison,77.0,4.0,84.0
08/07/2025,Vente,"160000,00",2300.0,QUIERZY,2,Maison,116.0,5.0,218.0
08/04/2025,Vente,"25000,00",2110.0,MONTBREHAIN,2,Maison,42.0,2.0,142.0
11/12/2025,Vente,"500000,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,120.0,4.0,1426.0
27/02/2025,Vente,"400000,00",1600.0,PARCIEUX,1,Maison,150.0,6.0,150.0
16/06/2025,Vente,"133000,00",2700.0,TERGNIER,2,Maison,101.0,6.0,417.0
26/08/2025,Vente,"149000,00",1340.0,ATTIGNAT,1,Maison,89.0,5.0,210.0
22/03/2025,Vente,"140000,00",2210.0,BRECY,2,Maison,164.0,8.0,732.0
30/08/2025,Vente,"198000,00",1370.0,VAL-REVERMONT,1,Maison,90.0,4.0,200.0
14/02/2025,Vente,"83000,00",1570.0,MANZIAT,1,Maison,84.0,4.0,574.0
12/03/2025,Vente,"135000,00",2430.0,GAUCHY,2,Maison,77.0,3.0,569.0
23/05/2025,Vente,"165000,00",2600.0,VILLERS-COTTERETS,2,Maison,100.0,5.0,416.0
22/07/2025,Vente,"140000,00",1400.0,SULIGNAT,1,Maison,108.0,4.0,1200.0
08/01/2025,Vente,"350000,00",1320.0,CHALAMONT,1,Maison,115.0,5.0,1380.0
26/04/2025,Vente,"80000,00",2100.0,SAINT QUENTIN,2,Maison,83.0,5.0,222.0
07/04/2025,Vente,"84900,00",2800.0,BEAUTOR,2,Maison,63.0,2.0,1999.0
27/06/2025,Vente,"168000,00",2220.0,BRAINE,2,Maison,107.0,4.0,472.0
08/07/2025,Vente,"240000,00",2100.0,SAINT QUENTIN,2,Maison,110.0,5.0,150.0
10/04/2025,Vente,"16500,00",2210.0,BILLY SUR OURCQ,2,Maison,33.0,2.0,56.0
26/11/2025,Vente,"1650000,00",1170.0,ECHENEVEX,1,Maison,250.0,5.0,1000.0
02/07/2025,Vente,"344130,00",1600.0,TOUSSIEUX,1,Maison,101.0,4.0,417.0
19/12/2025,Vente,"244328,18",1310.0,POLLIAT,1,Maison,86.0,4.0,298.0
07/05/2025,Vente,"100000,00",1500.0,SAINT-DENIS-EN-BUGEY,1,Maison,89.0,4.0,42.0
22/12/2025,Vente,"170000,00",1630.0,PERON,1,Appartement,70.0,4.0,205.0
14/10/2025,Vente,"260000,00",1990.0,CHANEINS,1,Maison,86.0,4.0,500.0
13/06/2025,Vente,"160950,00",2720.0,MESNIL SAINT LAURENT,2,Maison,128.0,5.0,1733.0
25/03/2025,Vente,"115000,00",1160.0,PONT-D AIN,1,Appartement,36.0,1.0,1105.0
18/03/2025,Vente,"109000,00",2100.0,HARLY,2,Maison,91.0,4.0,149.0
22/05/2025,Vente,"82484,00",1250.0,JASSERON,1,Maison,141.0,6.0,2197.0
21/11/2025,Vente,"353000,00",1310.0,CONFRANCON,1,Maison,157.0,4.0,2056.0
19/06/2025,Vente,"99000,00",2200.0,SOISSONS,2,Maison,65.0,3.0,195.0
29/08/2025,Vente,"200000,00",1350.0,CEYZERIEU,1,Maison,97.0,4.0,554.0
12/05/2025,Vente,"590000,00",1200.0,VALSERHONE,1,Maison,240.0,6.0,833.0
10/12/2025,Vente,"24000000,00",1200.0,VALSERHONE,1,Appartement,60.0,3.0,241.0
03/03/2025,Vente,"25000,00",2820.0,BERRIEUX,2,Maison,166.0,7.0,442.0
24/01/2025,Vente,"80000,00",2880.0,BUCY LE LONG,2,Maison,65.0,3.0,488.0
30/06/2025,Vente,"1,00",2350.0,LIESSE NOTRE DAME,2,Maison,60.0,3.0,189.0
09/10/2025,Vente,"139000,00",1160.0,NEUVILLE-SUR-AIN,1,Maison,94.0,4.0,85.0
23/10/2025,Vente,"375000,00",1360.0,BELIGNEUX,1,Maison,153.0,5.0,500.0
28/11/2025,Vente,"161000,00",1140.0,ST-ETIENNE-SUR-CHALARONNE,1,Maison,90.0,4.0,110.0
03/04/2025,Vente,"365000,00",1540.0,VONNAS,1,Maison,149.0,5.0,504.0
07/02/2025,Vente,"235000,00",2400.0,CHATEAU THIERRY,2,Maison,98.0,5.0,463.0
04/07/2025,Vente,"97000,00",2700.0,SERVAIS,2,Maison,100.0,3.0,1524.0
30/01/2025,Vente,"31900,00",2830.0,SAINT MICHEL,2,Maison,135.0,4.0,123.0
15/10/2025,Vente,"315000,00",1600.0,REYRIEUX,1,Maison,104.0,6.0,1050.0
02/06/2025,Vente,"340000,00",1200.0,VALSERHONE,1,Appartement,58.0,3.0,432.0
20/02/2025,Vente,"55000,00",2250.0,TAVAUX ET PONTSERICOURT,2,Maison,62.0,4.0,448.0
21/06/2025,Vente,"174000,00",2420.0,BELLENGLISE,2,Maison,109.0,3.0,640.0
13/01/2025,Vente,"40000,00",2100.0,SAINT QUENTIN,2,Maison,80.0,3.0,117.0
16/12/2025,Vente,"30000,00",1110.0,CHAMPDOR-CORCELLES,1,Maison,55.0,3.0,642.0
24/01/2025,Vente,"20000,00",2800.0,LA FERE,2,Maison,40.0,2.0,106.0
18/02/2025,Vente,"50000,00",2100.0,SAINT QUENTIN,2,Maison,70.0,3.0,86.0
13/10/2025,Vente,"196500,00",1220.0,DIVONNE-LES-BAINS,1,Maison,225.0,6.0,714.0
25/09/2025,Vente,"95000,00",1200.0,VALSERHONE,1,Maison,65.0,3.0,299.0
10/06/2025,Vente,"299000,00",1240.0,SAINT-ANDRE-LE-BOUCHOUX,1,Maison,114.0,7.0,548.0
08/07/2025,Vente,"640750,00",1600.0,SAINT-DIDIER-DE-FORMANS,1,Maison,215.0,9.0,1210.0
21/03/2025,Vente,"457700,00",1600.0,MASSIEUX,1,Maison,110.0,4.0,457.0
05/06/2025,Vente,"278000,00",1960.0,PERONNAS,1,Maison,93.0,4.0,537.0
30/10/2025,Vente,"683950,00",1630.0,PERON,1,Maison,74.0,3.0,850.0
19/05/2025,Vente,"76350,00",2390.0,ORIGNY-SAINTE-BENOITE,2,Maison,82.0,4.0,132.0
25/06/2025,Vente,"449000,00",1300.0,VIRIGNIN,1,Maison,149.0,5.0,700.0
15/10/2025,Vente,"135000,00",1190.0,SERMOYER,1,Maison,146.0,5.0,551.0
01/08/2025,Vente,"180000,00",1700.0,MIRIBEL,1,Maison,70.0,3.0,288.0
12/03/2025,Vente,"351600,00",1120.0,DAGNEUX,1,Maison,110.0,5.0,304.0
09/07/2025,Vente,"840000,00",1120.0,DAGNEUX,1,Maison,95.0,6.0,733.0
21/05/2025,Vente,"255000,00",1250.0,JASSERON,1,Maison,150.0,4.0,323.0
08/08/2025,Vente,"582500,00",1170.0,CESSY,1,Maison,127.0,6.0,818.0
23/12/2025,Vente,"388650,00",1540.0,SAINT-JULIEN-SUR-VEYLE,1,Maison,149.0,5.0,1184.0
24/03/2025,Vente,"81000,00",2240.0,BRISSY-HAMEGICOURT,2,Maison,82.0,4.0,223.0
17/01/2025,Vente,"259000,00",1310.0,BUELLAS,1,Maison,131.0,7.0,1158.0
25/08/2025,Vente,"290000,00",1140.0,MOGNENEINS,1,Maison,70.0,3.0,481.0
17/01/2025,Vente,"355000,00",1480.0,VILLENEUVE,1,Maison,97.0,5.0,982.0
14/05/2025,Vente,"285000,00",2860.0,CHAMOUILLE,2,Maison,144.0,6.0,252.0
06/05/2025,Vente,"205000,00",1540.0,VONNAS,1,Maison,90.0,4.0,702.0
20/11/2025,Vente,"210000,00",1750.0,SAINT-LAURENT-SUR-SAONE,1,Maison,98.0,3.0,129.0
22/04/2025,Vente,"117000,00",2700.0,LIEZ,2,Maison,120.0,5.0,342.0
13/03/2025,Vente,"120000,00",2160.0,PONTAVERT,2,Maison,43.0,2.0,525.0
18/01/2025,Vente,"210000,00",2310.0,MONTREUIL AUX LIONS,2,Maison,88.0,5.0,390.0
07/11/2025,Vente,"420000,00",1350.0,CULOZ-BEON,1,Maison,125.0,5.0,997.0
03/11/2025,Vente,"390000,00",1380.0,BAGE-DOMMARTIN,1,Maison,135.0,4.0,500.0
05/05/2025,Vente,"144,00",2210.0,BRECY,2,Maison,122.0,5.0,260.0
26/05/2025,Vente,"135000,00",1510.0,ORDONNAZ,1,Maison,63.0,1.0,450.0
07/02/2025,Vente,"1145150,00",1220.0,GRILLY,1,Maison,180.0,7.0,487.0
