Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
23/02/2025,Vente,"102000,00",1250.0,CEYZERIAT,1,Maison,148.0,6.0,600.0
27/01/2025,Vente,"169000,00",1310.0,SAINT-MARTIN-LE-CHATEL,1,Maison,137.0,4.0,620.0
13/01/2025,Vente,"320000,00",1240.0,SAINT-ANDRE-LE-BOUCHOUX,1,Maison,60.0,4.0,1713.0
05/03/2025,Vente,"70000,00",1140.0,PEYZIEUX-SUR-SAONE,1,Maison,100.0,4.0,551.0
16/01/2025,Vente,"63564,50",1390.0,TRAMOYES,1,Maison,148.0,7.0,818.0
03/01/2025,Vente,"215000,00",1350.0,ANGLEFORT,1,Maison,112.0,4.0,341.0
13/03/2025,Vente,"1350000,00",1210.0,ORNEX,1,Appartement,159.0,6.0,247.0
03/02/2025,Vente,"450000,00",1480.0,FAREINS,1,Maison,200.0,6.0,1032.0
31/01/2025,Vente,"700000,00",1000.0,SAINT-DENIS-LES-BOURG,1,Appartement,30.0,1.0,1286.0
06/02/2025,Vente,"79000,00",1570.0,FEILLENS,1,Appartement,62.0,2.0,83.0
17/02/2025,Vente,"299000,00",1150.0,LAGNIEU,1,Maison,107.0,4.0,662.0
07/03/2025,Vente,"130000,00",1370.0,SAINT-ETIENNE-DU-BOIS,1,Maison,94.0,3.0,356.0
14/02/2025,Vente,"215000,00",1660.0,MEZERIAT,1,Maison,179.0,8.0,500.0
07/02/2025,Vente,"380000,00",1200.0,BILLIAT,1,Maison,153.0,5.0,545.0
22/01/2025,Vente,"185000,00",1250.0,NIVIGNE ET SURAN,1,Appartement,140.0,4.0,190.0
24/03/2025,Vente,"266500,00",1460.0,BEARD-GEOVREISSIAT,1,Maison,105.0,4.0,940.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Appartement,120.0,7.0,370.0
04/02/2025,Vente,"360000,00",1120.0,LA BOISSE,1,Maison,102.0,4.0,658.0
13/01/2025,Vente,"485170,00",1700.0,MIRIBEL,1,Maison,91.0,4.0,577.0
28/02/2025,Vente,"177300,00",1500.0,BETTANT,1,Maison,80.0,3.0,83.0
25/02/2025,Vente,"70000,00",1230.0,TENAY,1,Appartement,75.0,4.0,593.0
08/01/2025,Vente,"265000,00",1310.0,CURTAFOND,1,Maison,122.0,5.0,900.0
15/01/2025,Vente,"120000,00",1140.0,PEYZIEUX-SUR-SAONE,1,Maison,90.0,4.0,294.0
21/01/2025,Vente,"289000,00",1500.0,AMBRONAY,1,Maison,90.0,4.0,581.0
03/01/2025,Vente,"387900,00",1600.0,MISERIEUX,1,Maison,133.0,6.0,424.0
12/02/2025,Vente,"420000,00",1200.0,VALSERHONE,1,Maison,128.0,6.0,972.0
