Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
16/01/2025,Vente,"415000,00",1360.0,BELIGNEUX,1,Maison,190.0,6.0,378.0
07/01/2025,Vente,"650000,00",1400.0,CHATILLON-SUR-CHALARONNE,1,Maison,270.0,8.0,450.0
16/01/2025,Vente,"120000,00",1460.0,PORT,1,Maison,70.0,3.0,309.0
02/01/2025,Vente,"225300,00",1660.0,CHAVEYRIAT,1,Appartement,103.0,7.0,313.0
15/01/2025,Vente,"486000,00",1390.0,MIONNAY,1,Maison,112.0,4.0,811.0
02/01/2025,Vente,"100000,00",1000.0,BOURG-EN-BRESSE,1,Maison,50.0,2.0,152.0
08/01/2025,Vente,"215000,00",1230.0,SAINT-RAMBERT-EN-BUGEY,1,Maison,88.0,3.0,685.0
10/01/2025,Vente,"225000,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,117.0,6.0,61.0
16/01/2025,Vente,"113000,00",1110.0,BRENOD,1,Maison,108.0,5.0,982.0
15/01/2025,Vente,"120000,00",1140.0,PEYZIEUX-SUR-SAONE,1,Maison,90.0,4.0,294.0
10/01/2025,Vente,"175000,00",1340.0,FOISSIAT,1,Maison,170.0,4.0,4642.0
13/01/2025,Vente,"227550,00",1370.0,BENY,1,Maison,80.0,3.0,1661.0
17/01/2025,Vente,"310000,00",1120.0,PIZAY,1,Maison,88.0,4.0,1100.0
22/01/2025,Vente,"659630,00",1170.0,CESSY,1,Maison,105.0,6.0,385.0
07/01/2025,Vente,"115950,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,99.0,4.0,49.0
03/01/2025,Vente,"570000,00",1630.0,CHALLEX,1,Maison,118.0,3.0,186.0
15/01/2025,Vente,"215000,00",1600.0,TREVOUX,1,Maison,65.0,4.0,359.0
17/01/2025,Vente,"410000,00",1150.0,SAINTE-JULIE,1,Maison,143.0,4.0,855.0
20/01/2025,Vente,"350000,00",1380.0,SAINT-CYR-SUR-MENTHON,1,Maison,94.0,4.0,1000.0
20/01/2025,Vente,"350000,00",1380.0,SAINT-CYR-SUR-MENTHON,1,Maison,94.0,4.0,3281.0
17/01/2025,Vente,"100000,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,89.0,4.0,995.0
17/01/2025,Vente,"494000,00",1390.0,MIONNAY,1,Maison,90.0,4.0,899.0
10/01/2025,Vente,"470706,00",1120.0,DAGNEUX,1,Maison,115.0,4.0,603.0
02/01/2025,Vente,"182500,00",1470.0,BRIORD,1,Maison,96.0,4.0,641.0
02/01/2025,Vente,"182500,00",1470.0,BRIORD,1,Maison,47.0,2.0,641.0
16/01/2025,Vente,"400000,00",1320.0,VILLETTE-SUR-AIN,1,Maison,80.0,4.0,700.0
07/01/2025,Vente,"200000,00",1170.0,VESANCY,1,Maison,73.0,4.0,185.0
13/01/2025,Vente,"398300,00",1700.0,MIRIBEL,1,Maison,80.0,4.0,193.0
06/01/2025,Vente,"400000,00",1500.0,AMBERIEU-EN-BUGEY,1,Maison,137.0,4.0,915.0
08/01/2025,Vente,"355000,00",1640.0,JUJURIEUX,1,Maison,103.0,3.0,67.0
09/01/2025,Vente,"297000,00",1150.0,SAINTE-JULIE,1,Maison,127.0,5.0,332.0
08/01/2025,Vente,"110000,00",1160.0,VARAMBON,1,Appartement,33.0,2.0,100.0
08/01/2025,Vente,"110000,00",1160.0,VARAMBON,1,Appartement,90.0,3.0,100.0
17/01/2025,Vente,"185000,00",1570.0,FEILLENS,1,Maison,92.0,4.0,436.0
09/01/2025,Vente,"1211150,00",1480.0,FAREINS,1,Maison,248.0,7.0,6000.0
09/01/2025,Vente,"1211150,00",1480.0,FAREINS,1,Maison,248.0,7.0,674.0
17/01/2025,Vente,"144000,00",1140.0,PEYZIEUX-SUR-SAONE,1,Maison,50.0,1.0,1122.0
10/01/2025,Vente,"190000,00",1260.0,CHAMPAGNE-EN-VALROMEY,1,Maison,68.0,3.0,1002.0
20/01/2025,Vente,"113000,00",1130.0,NANTUA,1,Maison,128.0,2.0,327.0
16/01/2025,Vente,"660000,00",1140.0,ST-ETIENNE-SUR-CHALARONNE,1,Maison,202.0,5.0,540.0
10/01/2025,Vente,"212757,05",1380.0,BAGE-DOMMARTIN,1,Maison,85.0,4.0,362.0
15/01/2025,Vente,"210000,00",1240.0,LENT,1,Maison,88.0,4.0,841.0
22/01/2025,Vente,"175000,00",1190.0,SERMOYER,1,Maison,72.0,3.0,564.0
22/01/2025,Vente,"175000,00",1190.0,SERMOYER,1,Maison,84.0,3.0,564.0
16/01/2025,Vente,"210500,00",1640.0,SAINT-JEAN-LE-VIEUX,1,Maison,113.0,5.0,84.0
02/01/2025,Vente,"220000,00",1600.0,TREVOUX,1,Maison,75.0,3.0,241.0
10/01/2025,Vente,"160000,00",1150.0,BLYES,1,Maison,101.0,4.0,345.0
09/01/2025,Vente,"440000,00",1600.0,SAINT-BERNARD,1,Maison,140.0,4.0,807.0
23/01/2025,Vente,"13500,00",1250.0,SIMANDRE-SUR-SURAN,1,Maison,30.0,1.0,692.0
27/01/2025,Vente,"207000,00",1340.0,FOISSIAT,1,Maison,130.0,4.0,1134.0
15/01/2025,Vente,"208000,00",1230.0,SAINT-RAMBERT-EN-BUGEY,1,Maison,70.0,3.0,55.0
14/01/2025,Vente,"785000,00",1700.0,NEYRON,1,Maison,180.0,5.0,500.0
14/01/2025,Vente,"785000,00",1700.0,NEYRON,1,Maison,180.0,5.0,525.0
21/01/2025,Vente,"289000,00",1500.0,AMBRONAY,1,Maison,90.0,4.0,581.0
17/01/2025,Vente,"190000,00",1340.0,MARSONNAS,1,Maison,101.0,3.0,592.0
10/01/2025,Vente,"330000,00",1350.0,CULOZ-BEON,1,Maison,113.0,4.0,558.0
08/01/2025,Vente,"237048,25",1750.0,REPLONGES,1,Maison,115.0,5.0,887.0
20/01/2025,Vente,"195000,00",1300.0,BRENS,1,Maison,152.0,6.0,773.0
03/01/2025,Vente,"260000,00",1420.0,SEYSSEL,1,Maison,78.0,4.0,18.0
15/01/2025,Vente,"600000,00",1170.0,GEX,1,Maison,98.0,4.0,802.0
16/01/2025,Vente,"550698,00",1170.0,ECHENEVEX,1,Maison,17.0,1.0,454.0
16/01/2025,Vente,"550698,00",1170.0,ECHENEVEX,1,Maison,88.0,4.0,454.0
10/01/2025,Vente,"345000,00",1580.0,SONTHONNAX-LA-MONTAGNE,1,Maison,190.0,6.0,774.0
03/01/2025,Vente,"215000,00",1350.0,ANGLEFORT,1,Maison,112.0,4.0,341.0
14/01/2025,Vente,"285000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,105.0,4.0,1007.0
14/01/2025,Vente,"285000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,105.0,4.0,700.0
08/01/2025,Vente,"277000,00",1640.0,SAINT-JEAN-LE-VIEUX,1,Maison,97.0,4.0,397.0
13/01/2025,Vente,"193500,00",1150.0,SAULT-BRENAZ,1,Maison,130.0,3.0,73.0
22/01/2025,Vente,"185000,00",1250.0,NIVIGNE ET SURAN,1,Appartement,140.0,4.0,190.0
