Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
13/02/2025,Vente,"1320000,00",1220.0,DIVONNE-LES-BAINS,1,Maison,226.0,8.0,1000.0
27/02/2025,Vente,"137570,00",1130.0,LE POIZAT-LALLEYRIAT,1,Maison,108.0,5.0,134.0
29/01/2025,Vente,"1155000,00",1170.0,GEX,1,Appartement,25.0,1.0,515.0
21/02/2025,Vente,"319000,00",1640.0,ABERGEMENT-DE-VAREY (L ),1,Maison,387.0,12.0,618.0
07/02/2025,Vente,"249000,00",1340.0,SAINT-DIDIER-D AUSSIAT,1,Maison,157.0,4.0,500.0
31/01/2025,Vente,"215000,00",1150.0,LAGNIEU,1,Maison,90.0,4.0,194.0
13/02/2025,Vente,"265000,00",1450.0,LEYSSARD,1,Maison,100.0,4.0,129.0
24/01/2025,Vente,"230000,00",1960.0,PERONNAS,1,Maison,32.0,1.0,731.0
21/02/2025,Vente,"920000,00",1100.0,BELLIGNAT,1,Appartement,30.0,2.0,678.0
21/02/2025,Vente,"419000,00",1140.0,PEYZIEUX-SUR-SAONE,1,Maison,152.0,5.0,1522.0
21/02/2025,Vente,"920000,00",1100.0,BELLIGNAT,1,Appartement,58.0,3.0,678.0
17/01/2025,Vente,"27600,00",1150.0,VAUX-EN-BUGEY,1,Maison,53.0,3.0,76.0
09/01/2025,Vente,"243000,00",1540.0,PERREX,1,Maison,101.0,4.0,686.0
30/01/2025,Vente,"400000,00",1350.0,CEYZERIEU,1,Maison,137.0,4.0,1000.0
31/01/2025,Vente,"280000,00",1250.0,SAINT-JUST,1,Maison,102.0,4.0,529.0
30/01/2025,Echange,"6188,00",1220.0,GRILLY,1,Appartement,76.0,3.0,9.0
16/01/2025,Vente,"330000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,200.0,5.0,4356.0
08/01/2025,Vente,"132000,00",1300.0,BELLEY,1,Maison,92.0,3.0,377.0
12/03/2025,Vente,"350000,00",1540.0,VONNAS,1,Maison,125.0,5.0,921.0
24/01/2025,Vente,"305000,00",1300.0,PARVES ET NATTAGES,1,Maison,140.0,5.0,918.0
29/01/2025,Vente,"254825,95",1250.0,CEYZERIAT,1,Appartement,88.0,3.0,498.0
25/02/2025,Vente,"164000,00",1560.0,LESCHEROUX,1,Maison,80.0,2.0,2185.0
29/01/2025,Vente,"100000,00",1320.0,CHALAMONT,1,Maison,100.0,5.0,842.0
11/03/2025,Vente,"230000,00",1300.0,CONTREVOZ,1,Maison,95.0,7.0,1346.0
07/02/2025,Vente,"260000,00",1320.0,CHALAMONT,1,Maison,95.0,4.0,400.0
12/02/2025,Vente,"370000,00",1600.0,TREVOUX,1,Maison,82.0,4.0,1050.0
